"Name","Pin","Function","Power, Clock, Debug, System","ICU","CAC","IIC","SCI","GPT","AGT","GPT_POEG","GPT_OPS","CTSU","RTC","ADC","ACMP(0-1)","SPI","KINT","ACMPLP","ANALOG","Symbolic Name","IRQ","Mode","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment","Pull up","Output type",
"AVCC0","42","ANALOG0_AVCC0","AVCC0","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"AVSS0","43","ANALOG0_AVSS0","AVSS0","","","","","","","","","","","","","","","","","","","","","","IO","Read only","","","",
"P000","48","","","IRQ06","","","","","","","","TS21","","AN000","","","","","","","","Disabled","ADC0: AN000
CTSU0: TS21
ICU0: IRQ06","","None","","","","",
"P001","47","","","IRQ07","","","","","","","","TS22","","AN001","","","","","","","","Disabled","ADC0: AN001
CTSU0: TS22
ICU0: IRQ07","","None","","","","",
"P002","46","","","IRQ02","","","","","","","","TS23","","AN002","","","","","","","","Disabled","ADC0: AN002
CTSU0: TS23
ICU0: IRQ02","","None","","","","",
"P010","45","","","","","","","","","","","TS30-CFC","","AN005","","","","","VREFH0","","","Disabled","ADC0: AN005
ANALOG0: VREFH0
CTSU0: TS30-CFC","","None","","","","",
"P011","44","","","","","","","","","","","TS31-CFC","","AN006","","","","","VREFL0","","","Disabled","ADC0: AN006
ANALOG0: VREFL0
CTSU0: TS31-CFC","","None","","","","",
"P012","41","","","","","","","","","","","TS32-CFC","","AN007","","","","","","","","Disabled","ADC0: AN007
CTSU0: TS32-CFC","","None","","","","",
"P013","40","","","","","","","","","","","TS33-CFC","","AN008","","","","","","","","Disabled","ADC0: AN008
CTSU0: TS33-CFC","","None","","","","",
"P014","39","","","","","","","","","","","","","AN009","","","","","","","","Disabled","ADC0: AN009","","None","","","","",
"P015","38","","","IRQ07","","","","","","","","TS28-CFC","","AN010","","","","","","","","Disabled","ADC0: AN010
CTSU0: TS28-CFC
ICU0: IRQ07","","None","","","","",
